Date, Open, High, Low, Close
06/22/21, 73.12, 73.30, 72.81, 72.89
06/21/21, 72.89, 73.34, 72.76, 73.11
06/18/21, 72.30, 72.86, 72.09, 72.80
06/17/21, 72.66, 72.71, 72.09, 72.30
06/16/21, 72.24, 72.69, 71.64, 72.66
06/15/21, 72.11, 72.35, 71.73, 72.23
06/14/21, 72.05, 72.37, 71.95, 72.13
06/11/21, 71.80, 72.39, 71.55, 71.95
06/10/21, 72.36, 72.56, 71.69, 71.80
06/09/21, 72.27, 72.38, 72.00, 72.36
06/08/21, 72.87, 72.92, 72.25, 72.27
06/07/21, 72.86, 73.28, 72.76, 72.85
06/04/21, 73.20, 73.32, 72.77, 72.86
06/03/21, 73.14, 73.35, 73.03, 73.24
06/02/21, 73.68, 73.76, 73.09, 73.14
06/01/21, 73.41, 73.69, 73.11, 73.67
05/31/21, 73.20, 73.48, 73.10, 73.41
05/28/21, 73.46, 73.70, 73.10, 73.20
05/27/21, 73.51, 73.68, 73.32, 73.45
05/26/21, 73.49, 73.71, 73.27, 73.51
05/25/21, 73.45, 73.59, 73.20, 73.49
05/24/21, 73.61, 73.88, 73.43, 73.45
05/21/21, 73.62, 73.69, 73.36, 73.62
05/20/21, 73.78, 74.00, 73.45, 73.60
05/19/21, 73.66, 74.00, 73.55, 73.78
05/18/21, 73.90, 74.05, 73.56, 73.66
05/17/21, 73.94, 74.11, 73.75, 73.90
05/14/21, 74.09, 74.14, 73.72, 74.01
05/13/21, 74.44, 74.74, 73.82, 74.09
05/12/21, 74.45, 74.70, 73.93, 74.70
05/11/21, 74.33, 74.43, 73.83, 74.16
05/10/21, 73.70, 74.36, 73.55, 74.33
05/07/21, 74.27, 74.31, 73.53, 73.75
05/06/21, 74.80, 74.91, 74.20, 74.28
05/05/21, 74.76, 75.05, 74.60, 74.80
05/04/21, 75.17, 75.36, 74.67, 74.73
05/03/21, 75.13, 75.85, 74.78, 74.98
04/30/21, 74.77, 75.45, 74.47, 75.29
04/29/21, 74.44, 74.74, 74.21, 74.69
04/28/21, 75.00, 75.11, 74.37, 74.44
04/27/21, 75.02, 75.28, 74.79, 75.00
04/26/21, 74.95, 75.41, 74.64, 75.02
04/23/21, 75.42, 75.60, 74.66, 74.87
04/22/21, 76.69, 77.01, 75.25, 75.39
04/21/21, 76.94, 77.28, 76.33, 76.69
04/20/21, 76.34, 77.05, 75.94, 76.94
04/19/21, 75.61, 76.44, 75.61, 76.39
04/16/21, 76.60, 76.94, 75.33, 75.61
04/15/21, 75.81, 77.55, 75.80, 76.36
04/14/21, 76.27, 76.42, 75.46, 75.79
04/13/21, 77.33, 77.56, 75.83, 76.28
04/12/21, 77.30, 77.77, 77.08, 77.33
04/09/21, 76.83, 77.48, 76.76, 77.43
04/08/21, 76.95, 77.38, 76.63, 76.86
04/07/21, 77.14, 78.03, 76.82, 76.95
04/06/21, 76.37, 77.45, 76.19, 77.35
04/05/21, 76.30, 76.74, 75.99, 76.37
04/02/21, 76.16, 76.51, 75.75, 76.44
04/01/21, 75.65, 76.44, 75.58, 76.16
03/31/21, 75.84, 76.13, 75.23, 75.65
03/30/21, 75.74, 76.18, 75.40, 75.84
03/29/21, 76.01, 76.11, 75.56, 75.61
03/26/21, 76.25, 76.30, 75.60, 75.85
03/25/21, 76.60, 76.75, 75.74, 76.24
03/24/21, 76.41, 76.95, 75.71, 76.60
03/23/21, 74.78, 76.43, 74.76, 76.40
03/22/21, 74.25, 75.08, 74.20, 74.78
03/19/21, 74.29, 74.46, 73.74, 74.09
03/18/21, 73.70, 74.43, 73.45, 74.28
03/17/21, 72.75, 74.20, 72.73, 73.73
03/16/21, 72.83, 73.06, 72.54, 72.78
03/15/21, 73.29, 73.54, 72.77, 72.83
03/12/21, 73.38, 73.72, 73.23, 73.26
03/11/21, 73.64, 73.85, 73.19, 73.41
03/10/21, 74.04, 74.41, 73.56, 73.63
03/09/21, 74.58, 74.65, 73.78, 73.99
03/08/21, 74.34, 74.86, 73.88, 74.44
03/05/21, 74.56, 74.78, 74.11, 74.35
03/04/21, 73.93, 74.95, 73.34, 74.63
03/03/21, 73.80, 74.15, 73.40, 74.02
03/02/21, 74.29, 74.71, 73.62, 73.80
03/01/21, 74.58, 74.95, 73.91, 74.29
02/26/21, 74.59, 74.92, 74.26, 74.58
02/25/21, 73.59, 74.85, 73.35, 74.72
02/24/21, 74.01, 74.28, 73.41, 73.50
02/23/21, 74.30, 74.31, 73.73, 74.04
02/22/21, 74.03, 75.03, 73.88, 74.36
02/19/21, 73.86, 74.20, 73.80, 74.03
02/18/21, 73.77, 74.16, 73.50, 73.87
02/17/21, 73.61, 74.19, 73.49, 73.76
02/16/21, 73.33, 73.90, 73.15, 73.61
02/15/21, 73.65, 73.81, 73.14, 73.31
02/12/21, 73.75, 74.47, 73.52, 73.66
02/11/21, 73.91, 73.95, 73.54, 73.68
02/10/21, 73.90, 74.07, 73.64, 73.92
02/09/21, 74.37, 74.46, 73.87, 73.92
02/08/21, 74.61, 74.79, 74.15, 74.37
02/05/21, 75.54, 75.70, 74.53, 74.65
02/04/21, 75.79, 76.07, 75.31, 75.56
02/03/21, 76.20, 76.32, 75.78, 75.82
02/02/21, 76.05, 76.31, 75.34, 76.16
02/01/21, 75.95, 76.20, 75.35, 76.10
01/29/21, 75.96, 76.34, 75.24, 75.95
01/28/21, 75.85, 76.49, 75.69, 76.07
01/27/21, 75.11, 75.98, 74.79, 75.86
01/26/21, 75.37, 75.79, 74.95, 75.11
01/25/21, 75.31, 75.86, 74.58, 75.38
01/22/21, 74.09, 75.36, 73.87, 75.26
01/21/21, 73.50, 74.09, 73.19, 74.00
01/20/21, 73.81, 73.94, 73.22, 73.50
01/19/21, 73.93, 74.08, 73.61, 73.82
01/18/21, 73.50, 74.37, 73.50, 73.94
01/15/21, 73.45, 73.87, 73.24, 73.52
01/14/21, 73.86, 74.02, 73.11, 73.29
01/13/21, 73.46, 73.97, 73.39, 73.86
01/12/21, 74.71, 74.79, 73.46, 73.47
01/11/21, 74.08, 74.99, 73.95, 74.71
01/08/21, 74.70, 74.82, 73.83, 74.08
01/07/21, 73.94, 74.97, 73.62, 74.74
01/06/21, 74.19, 74.27, 73.40, 73.96
01/05/21, 74.51, 75.23, 73.85, 74.28
01/04/21, 73.94, 74.57, 73.08, 74.48
